player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
PA Patel (INDIA),19,69,39,0,0,48.71,1,v England,Cardiff,16/09/11
AM Rahane (INDIA),26,54,47,3,0,55.31,1,v England,Cardiff,16/09/11
R Dravid (INDIA),69,107,79,4,0,87.34,1,v England,Cardiff,16/09/11
V Kohli (INDIA),107,102,93,9,1,115.05,1,v England,Cardiff,16/09/11
SK Raina (INDIA),15,37,15,0,1,100,1,v England,Cardiff,16/09/11
MS Dhoni (INDIA),50*,35,26,5,2,192.3,1,v England,Cardiff,16/09/11
RA Jadeja (INDIA),0,2,1,0,0,0,1,v England,Cardiff,16/09/11
PA Patel (INDIA),9,20,10,1,0,90,1,v England,Hyderabad (Deccan),14/10/11
AM Rahane (INDIA),15,59,41,0,0,36.58,1,v England,Hyderabad (Deccan),14/10/11
G Gambhir (INDIA),32,57,33,4,0,96.96,1,v England,Hyderabad (Deccan),14/10/11
V Kohli (INDIA),37,70,63,0,0,58.73,1,v England,Hyderabad (Deccan),14/10/11
SK Raina (INDIA),61,91,55,5,2,110.9,1,v England,Hyderabad (Deccan),14/10/11
MS Dhoni (INDIA),87*,104,70,10,1,124.28,1,v England,Hyderabad (Deccan),14/10/11
RA Jadeja (INDIA),27,32,22,1,2,122.72,1,v England,Hyderabad (Deccan),14/10/11
PA Patel (INDIA),12,18,17,2,0,70.58,2,v England,Delhi,17/10/11
AM Rahane (INDIA),14,34,15,1,1,93.33,2,v England,Delhi,17/10/11
G Gambhir (INDIA),84*,150,90,10,0,93.33,2,v England,Delhi,17/10/11
V Kohli (INDIA),112*,134,98,16,0,114.28,2,v England,Delhi,17/10/11
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Delhi,17/10/11
SK Raina (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Delhi,17/10/11
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Delhi,17/10/11
DA Warner (AUSTRALIA),20,12,17,4,0,117.64,1,v South Africa,Centurion,19/10/11
RT Ponting (AUSTRALIA),63,118,77,9,0,81.81,1,v South Africa,Centurion,19/10/11
MJ Clarke (AUSTRALIA),44,83,48,5,2,91.66,1,v South Africa,Centurion,19/10/11
MEK Hussey (AUSTRALIA),30*,35,21,3,1,142.85,1,v South Africa,Centurion,19/10/11
BJ Haddin (AUSTRALIA),9,7,7,0,0,128.57,1,v South Africa,Centurion,19/10/11
MR Marsh (AUSTRALIA),8*,4,5,1,0,160,1,v South Africa,Centurion,19/10/11
SPD Smith (AUSTRALIA),DNB,-0,-0,-0,-0,-0,1,v South Africa,Centurion,19/10/11
PA Patel (INDIA),38,67,46,3,0,82.6,2,v England,Mohali,20/10/11
AM Rahane (INDIA),91,166,104,6,0,87.5,2,v England,Mohali,20/10/11
G Gambhir (INDIA),58,76,60,3,1,96.66,2,v England,Mohali,20/10/11
V Kohli (INDIA),35,42,30,5,0,116.66,2,v England,Mohali,20/10/11
SK Raina (INDIA),0,5,3,0,0,0,2,v England,Mohali,20/10/11
MS Dhoni (INDIA),35*,53,31,3,0,112.9,2,v England,Mohali,20/10/11
RA Jadeja (INDIA),26*,38,24,2,0,108.33,2,v England,Mohali,20/10/11
PA Patel (INDIA),8,-0,20,0,0,40,2,v England,Mumbai,23/10/11
AM Rahane (INDIA),20,-0,37,1,0,54.05,2,v England,Mumbai,23/10/11
G Gambhir (INDIA),1,-0,6,0,0,16.66,2,v England,Mumbai,23/10/11
V Kohli (INDIA),86*,-0,99,11,0,86.86,2,v England,Mumbai,23/10/11
SK Raina (INDIA),80,-0,62,12,0,129.03,2,v England,Mumbai,23/10/11
MS Dhoni (INDIA),15*,-0,18,1,1,83.33,2,v England,Mumbai,23/10/11
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v England,Mumbai,23/10/11
DA Warner (AUSTRALIA),74,136,97,6,0,76.28,2,v South Africa,Port Elizabeth,23/10/11
RT Ponting (AUSTRALIA),10,17,7,2,0,142.85,2,v South Africa,Port Elizabeth,23/10/11
MJ Clarke (AUSTRALIA),1,10,6,0,0,16.66,2,v South Africa,Port Elizabeth,23/10/11
MEK Hussey (AUSTRALIA),37,83,62,4,0,59.67,2,v South Africa,Port Elizabeth,23/10/11
SPD Smith (AUSTRALIA),26,60,39,0,0,66.66,2,v South Africa,Port Elizabeth,23/10/11
SR Watson (AUSTRALIA),15,20,10,1,1,150,2,v South Africa,Port Elizabeth,23/10/11
BJ Haddin (AUSTRALIA),13,45,23,0,0,56.52,2,v South Africa,Port Elizabeth,23/10/11
AM Rahane (INDIA),42,80,61,6,0,68.85,1,v England,Kolkata,25/10/11
G Gambhir (INDIA),38,70,46,4,0,82.6,1,v England,Kolkata,25/10/11
V Kohli (INDIA),0,5,5,0,0,0,1,v England,Kolkata,25/10/11
MK Tiwary (INDIA),24,41,30,4,0,80,1,v England,Kolkata,25/10/11
SK Raina (INDIA),38,82,46,5,0,82.6,1,v England,Kolkata,25/10/11
MS Dhoni (INDIA),75*,103,69,3,4,108.69,1,v England,Kolkata,25/10/11
RA Jadeja (INDIA),21,27,21,2,0,100,1,v England,Kolkata,25/10/11
SR Watson (AUSTRALIA),49,60,46,6,1,106.52,2,v South Africa,Durban,28/10/11
DA Warner (AUSTRALIA),10,29,18,1,0,55.55,2,v South Africa,Durban,28/10/11
RT Ponting (AUSTRALIA),11,36,20,1,0,55,2,v South Africa,Durban,28/10/11
MJ Clarke (AUSTRALIA),26,54,39,5,0,66.66,2,v South Africa,Durban,28/10/11
SE Marsh (AUSTRALIA),30,79,55,2,0,54.54,2,v South Africa,Durban,28/10/11
MEK Hussey (AUSTRALIA),45*,93,64,1,1,70.31,2,v South Africa,Durban,28/10/11
BJ Haddin (AUSTRALIA),23,34,25,2,2,92,2,v South Africa,Durban,28/10/11
PA Patel (INDIA),12,18,13,2,0,92.3,2,v West Indies,Cuttack,29/11/11
V Sehwag (INDIA),20,55,29,3,0,68.96,2,v West Indies,Cuttack,29/11/11
G Gambhir (INDIA),4,3,3,1,0,133.33,2,v West Indies,Cuttack,29/11/11
V Kohli (INDIA),3,13,6,0,0,50,2,v West Indies,Cuttack,29/11/11
RG Sharma (INDIA),72,185,99,3,1,72.72,2,v West Indies,Cuttack,29/11/11
SK Raina (INDIA),5,10,7,0,0,71.42,2,v West Indies,Cuttack,29/11/11
RA Jadeja (INDIA),38,73,62,3,0,61.29,2,v West Indies,Cuttack,29/11/11
PA Patel (INDIA),2,5,6,0,0,33.33,2,v West Indies,Visakhapatnam,02/12/11
V Sehwag (INDIA),26,71,35,3,0,74.28,2,v West Indies,Visakhapatnam,02/12/11
G Gambhir (INDIA),12,24,18,2,0,66.66,2,v West Indies,Visakhapatnam,02/12/11
V Kohli (INDIA),117,154,123,14,0,95.12,2,v West Indies,Visakhapatnam,02/12/11
RG Sharma (INDIA),90*,131,98,7,2,91.83,2,v West Indies,Visakhapatnam,02/12/11
SK Raina (INDIA),0,3,1,0,0,0,2,v West Indies,Visakhapatnam,02/12/11
RA Jadeja (INDIA),9*,13,8,1,0,112.5,2,v West Indies,Visakhapatnam,02/12/11
PA Patel (INDIA),39,60,35,7,0,111.42,2,v West Indies,Ahmedabad,05/12/11
V Sehwag (INDIA),0,3,1,0,0,0,2,v West Indies,Ahmedabad,05/12/11
G Gambhir (INDIA),0,1,1,0,0,0,2,v West Indies,Ahmedabad,05/12/11
V Kohli (INDIA),20,21,30,3,0,66.66,2,v West Indies,Ahmedabad,05/12/11
RG Sharma (INDIA),95,151,100,10,1,95,2,v West Indies,Ahmedabad,05/12/11
SK Raina (INDIA),2,5,3,0,0,66.66,2,v West Indies,Ahmedabad,05/12/11
RA Jadeja (INDIA),11,25,16,2,0,68.75,2,v West Indies,Ahmedabad,05/12/11
G Gambhir (INDIA),67,100,67,11,0,100,1,v West Indies,Indore,08/12/11
V Sehwag (INDIA),219,208,149,25,7,146.97,1,v West Indies,Indore,08/12/11
SK Raina (INDIA),55,76,44,6,0,125,1,v West Indies,Indore,08/12/11
RA Jadeja (INDIA),10,14,10,0,0,100,1,v West Indies,Indore,08/12/11
RG Sharma (INDIA),27,21,16,3,0,168.75,1,v West Indies,Indore,08/12/11
V Kohli (INDIA),23*,15,11,3,0,209.09,1,v West Indies,Indore,08/12/11
PA Patel (INDIA),3*,9,3,0,0,100,1,v West Indies,Indore,08/12/11
G Gambhir (INDIA),31,73,41,2,0,75.6,1,v West Indies,Chennai,11/12/11
AM Rahane (INDIA),0,1,1,0,0,0,1,v West Indies,Chennai,11/12/11
PA Patel (INDIA),0,1,1,0,0,0,1,v West Indies,Chennai,11/12/11
MK Tiwary (INDIA),104*,144,126,10,1,82.53,1,v West Indies,Chennai,11/12/11
V Kohli (INDIA),80,99,85,5,0,94.11,1,v West Indies,Chennai,11/12/11
RG Sharma (INDIA),21,31,26,1,0,80.76,1,v West Indies,Chennai,11/12/11
SK Raina (INDIA),16*,16,12,2,0,133.33,1,v West Indies,Chennai,11/12/11
MS Wade (AUSTRALIA),67,92,69,4,2,97.1,1,v India,Melbourne,05/02/12
DA Warner (AUSTRALIA),6,24,14,0,0,42.85,1,v India,Melbourne,05/02/12
RT Ponting (AUSTRALIA),2,11,12,0,0,16.66,1,v India,Melbourne,05/02/12
MJ Clarke (AUSTRALIA),10,24,21,0,0,47.61,1,v India,Melbourne,05/02/12
MEK Hussey (AUSTRALIA),45,45,32,4,0,140.62,1,v India,Melbourne,05/02/12
DJ Hussey (AUSTRALIA),61*,45,30,4,3,203.33,1,v India,Melbourne,05/02/12
DT Christian (AUSTRALIA),17*,31,16,0,0,106.25,1,v India,Melbourne,05/02/12
G Gambhir (INDIA),5,17,8,0,0,62.5,2,v Australia,Melbourne,05/02/12
SR Tendulkar (INDIA),2,9,6,0,0,33.33,2,v Australia,Melbourne,05/02/12
V Kohli (INDIA),31,30,34,3,0,91.17,2,v Australia,Melbourne,05/02/12
RG Sharma (INDIA),21,34,21,2,0,100,2,v Australia,Melbourne,05/02/12
SK Raina (INDIA),4,14,9,0,0,44.44,2,v Australia,Melbourne,05/02/12
MS Dhoni (INDIA),29,61,38,1,0,76.31,2,v Australia,Melbourne,05/02/12
RA Jadeja (INDIA),19,34,25,0,0,76,2,v Australia,Melbourne,05/02/12
V Sehwag (INDIA),10,12,8,2,0,125,2,v Sri Lanka,Perth,08/02/12
SR Tendulkar (INDIA),48,87,63,5,0,76.19,2,v Sri Lanka,Perth,08/02/12
V Kohli (INDIA),77,156,94,8,1,81.91,2,v Sri Lanka,Perth,08/02/12
RG Sharma (INDIA),10,29,17,1,0,58.82,2,v Sri Lanka,Perth,08/02/12
SK Raina (INDIA),24,30,27,3,0,88.88,2,v Sri Lanka,Perth,08/02/12
MS Dhoni (INDIA),4,6,5,1,0,80,2,v Sri Lanka,Perth,08/02/12
RA Jadeja (INDIA),24*,57,28,1,0,85.71,2,v Sri Lanka,Perth,08/02/12
DA Warner (AUSTRALIA),34,45,29,4,1,117.24,1,v Sri Lanka,Perth,10/02/12
MS Wade (AUSTRALIA),1,15,5,0,0,20,1,v Sri Lanka,Perth,10/02/12
RT Ponting (AUSTRALIA),1,6,4,0,0,25,1,v Sri Lanka,Perth,10/02/12
MJ Clarke (AUSTRALIA),57,157,88,4,0,64.77,1,v Sri Lanka,Perth,10/02/12
MEK Hussey (AUSTRALIA),23,34,32,3,0,71.87,1,v Sri Lanka,Perth,10/02/12
DJ Hussey (AUSTRALIA),27,41,38,2,1,71.05,1,v Sri Lanka,Perth,10/02/12
DT Christian (AUSTRALIA),33,51,44,4,1,75,1,v Sri Lanka,Perth,10/02/12
DA Warner (AUSTRALIA),18,46,24,2,0,75,1,v India,Adelaide,12/02/12
RT Ponting (AUSTRALIA),6,14,14,1,0,42.85,1,v India,Adelaide,12/02/12
MJ Clarke (AUSTRALIA),38,63,43,5,0,88.37,1,v India,Adelaide,12/02/12
PJ Forrest (AUSTRALIA),66,92,83,5,2,79.51,1,v India,Adelaide,12/02/12
DJ Hussey (AUSTRALIA),72,100,76,5,0,94.73,1,v India,Adelaide,12/02/12
DT Christian (AUSTRALIA),39,57,36,2,0,108.33,1,v India,Adelaide,12/02/12
MS Wade (AUSTRALIA),16,25,18,1,0,88.88,1,v India,Adelaide,12/02/12
G Gambhir (INDIA),92,140,111,7,0,82.88,2,v Australia,Adelaide,12/02/12
V Sehwag (INDIA),20,38,21,3,0,95.23,2,v Australia,Adelaide,12/02/12
V Kohli (INDIA),18,41,28,1,0,64.28,2,v Australia,Adelaide,12/02/12
RG Sharma (INDIA),33,49,41,1,1,80.48,2,v Australia,Adelaide,12/02/12
SK Raina (INDIA),38,65,30,3,1,126.66,2,v Australia,Adelaide,12/02/12
MS Dhoni (INDIA),44*,76,58,0,1,75.86,2,v Australia,Adelaide,12/02/12
RA Jadeja (INDIA),12,11,8,0,0,150,2,v Australia,Adelaide,12/02/12
G Gambhir (INDIA),91,168,106,6,0,85.84,2,v Sri Lanka,Adelaide,14/02/12
SR Tendulkar (INDIA),15,25,24,2,0,62.5,2,v Sri Lanka,Adelaide,14/02/12
V Kohli (INDIA),15,32,25,1,0,60,2,v Sri Lanka,Adelaide,14/02/12
RG Sharma (INDIA),15,30,27,2,0,55.55,2,v Sri Lanka,Adelaide,14/02/12
SK Raina (INDIA),8,19,19,0,0,42.1,2,v Sri Lanka,Adelaide,14/02/12
MS Dhoni (INDIA),58*,113,69,3,1,84.05,2,v Sri Lanka,Adelaide,14/02/12
RA Jadeja (INDIA),3,14,10,0,0,30,2,v Sri Lanka,Adelaide,14/02/12
DA Warner (AUSTRALIA),13,23,21,2,0,61.9,1,v Sri Lanka,Sydney,17/02/12
MS Wade (AUSTRALIA),15,53,36,1,0,41.66,1,v Sri Lanka,Sydney,17/02/12
RT Ponting (AUSTRALIA),2,21,10,0,0,20,1,v Sri Lanka,Sydney,17/02/12
PJ Forrest (AUSTRALIA),16,42,26,3,0,61.53,1,v Sri Lanka,Sydney,17/02/12
MEK Hussey (AUSTRALIA),13,23,23,1,1,56.52,1,v Sri Lanka,Sydney,17/02/12
DJ Hussey (AUSTRALIA),58,90,64,6,0,90.62,1,v Sri Lanka,Sydney,17/02/12
DT Christian (AUSTRALIA),6,11,13,1,0,46.15,1,v Sri Lanka,Sydney,17/02/12
MS Wade (AUSTRALIA),45,127,67,2,1,67.16,1,v India,Brisbane,19/02/12
DA Warner (AUSTRALIA),43,58,46,5,1,93.47,1,v India,Brisbane,19/02/12
RT Ponting (AUSTRALIA),7,33,26,0,0,26.92,1,v India,Brisbane,19/02/12
PJ Forrest (AUSTRALIA),52,117,71,3,0,73.23,1,v India,Brisbane,19/02/12
MEK Hussey (AUSTRALIA),59,77,52,6,0,113.46,1,v India,Brisbane,19/02/12
DJ Hussey (AUSTRALIA),26*,35,20,1,1,130,1,v India,Brisbane,19/02/12
DT Christian (AUSTRALIA),30*,30,18,5,0,166.66,1,v India,Brisbane,19/02/12
G Gambhir (INDIA),5,6,5,1,0,100,2,v Australia,Brisbane,19/02/12
SR Tendulkar (INDIA),3,21,12,0,0,25,2,v Australia,Brisbane,19/02/12
V Kohli (INDIA),12,44,25,0,0,48,2,v Australia,Brisbane,19/02/12
RG Sharma (INDIA),0,6,5,0,0,0,2,v Australia,Brisbane,19/02/12
SK Raina (INDIA),28,76,41,1,1,68.29,2,v Australia,Brisbane,19/02/12
MS Dhoni (INDIA),56,115,84,2,1,66.66,2,v Australia,Brisbane,19/02/12
RA Jadeja (INDIA),18,29,35,1,0,51.42,2,v Australia,Brisbane,19/02/12
V Sehwag (INDIA),0,1,2,0,0,0,2,v Sri Lanka,Brisbane,21/02/12
SR Tendulkar (INDIA),22,33,23,3,0,95.65,2,v Sri Lanka,Brisbane,21/02/12
G Gambhir (INDIA),29,46,34,4,0,85.29,2,v Sri Lanka,Brisbane,21/02/12
V Kohli (INDIA),66,116,83,2,0,79.51,2,v Sri Lanka,Brisbane,21/02/12
SK Raina (INDIA),32,78,55,1,0,58.18,2,v Sri Lanka,Brisbane,21/02/12
RA Jadeja (INDIA),17,35,21,1,0,80.95,2,v Sri Lanka,Brisbane,21/02/12
IK Pathan (INDIA),47,51,34,7,0,138.23,2,v Sri Lanka,Brisbane,21/02/12
MS Wade (AUSTRALIA),5,7,7,1,0,71.42,1,v Sri Lanka,Hobart,24/02/12
DA Warner (AUSTRALIA),7,30,13,0,0,53.84,1,v Sri Lanka,Hobart,24/02/12
PJ Forrest (AUSTRALIA),104,163,138,10,2,75.36,1,v Sri Lanka,Hobart,24/02/12
MJ Clarke (AUSTRALIA),72,128,79,5,2,91.13,1,v Sri Lanka,Hobart,24/02/12
MEK Hussey (AUSTRALIA),21,33,14,0,2,150,1,v Sri Lanka,Hobart,24/02/12
DJ Hussey (AUSTRALIA),40*,48,28,2,1,142.85,1,v Sri Lanka,Hobart,24/02/12
DT Christian (AUSTRALIA),6,6,6,0,0,100,1,v Sri Lanka,Hobart,24/02/12
DA Warner (AUSTRALIA),68,98,66,7,0,103.03,1,v India,Sydney,26/02/12
SR Watson (AUSTRALIA),1,9,7,0,0,14.28,1,v India,Sydney,26/02/12
PJ Forrest (AUSTRALIA),7,17,18,1,0,38.88,1,v India,Sydney,26/02/12
MEK Hussey (AUSTRALIA),10,33,21,1,0,47.61,1,v India,Sydney,26/02/12
DJ Hussey (AUSTRALIA),54,113,64,2,0,84.37,1,v India,Sydney,26/02/12
MS Wade (AUSTRALIA),56,65,66,2,1,84.84,1,v India,Sydney,26/02/12
DT Christian (AUSTRALIA),24,45,32,2,0,75,1,v India,Sydney,26/02/12
V Sehwag (INDIA),5,8,11,1,0,45.45,2,v Australia,Sydney,26/02/12
SR Tendulkar (INDIA),14,34,15,2,0,93.33,2,v Australia,Sydney,26/02/12
G Gambhir (INDIA),23,68,48,3,0,47.91,2,v Australia,Sydney,26/02/12
V Kohli (INDIA),21,36,27,2,0,77.77,2,v Australia,Sydney,26/02/12
SK Raina (INDIA),8,16,7,1,0,114.28,2,v Australia,Sydney,26/02/12
MS Dhoni (INDIA),14,68,49,0,0,28.57,2,v Australia,Sydney,26/02/12
RA Jadeja (INDIA),8,30,17,1,0,47.05,2,v Australia,Sydney,26/02/12
V Sehwag (INDIA),30,29,16,5,1,187.5,2,v Sri Lanka,Hobart,28/02/12
SR Tendulkar (INDIA),39,45,30,5,0,130,2,v Sri Lanka,Hobart,28/02/12
G Gambhir (INDIA),63,97,64,4,0,98.43,2,v Sri Lanka,Hobart,28/02/12
V Kohli (INDIA),133*,133,86,16,2,154.65,2,v Sri Lanka,Hobart,28/02/12
SK Raina (INDIA),40*,53,24,3,1,166.66,2,v Sri Lanka,Hobart,28/02/12
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Hobart,28/02/12
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Hobart,28/02/12
MS Wade (AUSTRALIA),9,15,12,1,0,75,2,v Sri Lanka,Melbourne,02/03/12
DA Warner (AUSTRALIA),6,11,6,1,0,100,2,v Sri Lanka,Melbourne,02/03/12
SR Watson (AUSTRALIA),65,118,83,5,0,78.31,2,v Sri Lanka,Melbourne,02/03/12
PJ Forrest (AUSTRALIA),2,8,9,0,0,22.22,2,v Sri Lanka,Melbourne,02/03/12
MEK Hussey (AUSTRALIA),29,79,56,3,0,51.78,2,v Sri Lanka,Melbourne,02/03/12
DJ Hussey (AUSTRALIA),74,122,74,4,1,100,2,v Sri Lanka,Melbourne,02/03/12
DT Christian (AUSTRALIA),3,16,8,0,0,37.5,2,v Sri Lanka,Melbourne,02/03/12
DA Warner (AUSTRALIA),163,219,157,13,2,103.82,1,v Sri Lanka,Brisbane,04/03/12
MS Wade (AUSTRALIA),64,110,72,4,1,88.88,1,v Sri Lanka,Brisbane,04/03/12
SR Watson (AUSTRALIA),21,42,25,1,0,84,1,v Sri Lanka,Brisbane,04/03/12
DT Christian (AUSTRALIA),10,19,8,2,0,125,1,v Sri Lanka,Brisbane,04/03/12
DJ Hussey (AUSTRALIA),1,3,3,0,0,33.33,1,v Sri Lanka,Brisbane,04/03/12
MJ Clarke (AUSTRALIA),37,34,25,5,0,148,1,v Sri Lanka,Brisbane,04/03/12
MEK Hussey (AUSTRALIA),19*,16,10,0,2,190,1,v Sri Lanka,Brisbane,04/03/12
MS Wade (AUSTRALIA),14,15,19,2,0,73.68,1,v Sri Lanka,Adelaide,06/03/12
DA Warner (AUSTRALIA),100,184,140,4,1,71.42,1,v Sri Lanka,Adelaide,06/03/12
SR Watson (AUSTRALIA),15,42,34,0,0,44.11,1,v Sri Lanka,Adelaide,06/03/12
MJ Clarke (AUSTRALIA),117,143,91,5,4,128.57,1,v Sri Lanka,Adelaide,06/03/12
MEK Hussey (AUSTRALIA),6,7,5,1,0,120,1,v Sri Lanka,Adelaide,06/03/12
DJ Hussey (AUSTRALIA),7,8,8,0,0,87.5,1,v Sri Lanka,Adelaide,06/03/12
DT Christian (AUSTRALIA),4*,2,4,0,0,100,1,v Sri Lanka,Adelaide,06/03/12
MS Wade (AUSTRALIA),49,107,74,3,0,66.21,1,v Sri Lanka,Adelaide,08/03/12
DA Warner (AUSTRALIA),48,57,45,5,1,106.66,1,v Sri Lanka,Adelaide,08/03/12
SR Watson (AUSTRALIA),19,32,18,1,1,105.55,1,v Sri Lanka,Adelaide,08/03/12
MEK Hussey (AUSTRALIA),1,8,3,0,0,33.33,1,v Sri Lanka,Adelaide,08/03/12
DJ Hussey (AUSTRALIA),19,43,29,1,0,65.51,1,v Sri Lanka,Adelaide,08/03/12
PJ Forrest (AUSTRALIA),3,10,7,0,0,42.85,1,v Sri Lanka,Adelaide,08/03/12
DT Christian (AUSTRALIA),19,47,26,2,0,73.07,1,v Sri Lanka,Adelaide,08/03/12
G Gambhir (INDIA),100,171,118,7,0,84.74,1,v Sri Lanka,Dhaka,13/03/12
SR Tendulkar (INDIA),6,25,19,1,0,31.57,1,v Sri Lanka,Dhaka,13/03/12
V Kohli (INDIA),108,148,120,7,0,90,1,v Sri Lanka,Dhaka,13/03/12
MS Dhoni (INDIA),46*,38,26,6,1,176.92,1,v Sri Lanka,Dhaka,13/03/12
SK Raina (INDIA),30*,35,17,3,1,176.47,1,v Sri Lanka,Dhaka,13/03/12
RG Sharma (INDIA),DNB,-0,-0,-0,-0,-0,1,v Sri Lanka,Dhaka,13/03/12
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,1,v Sri Lanka,Dhaka,13/03/12
G Gambhir (INDIA),11,27,16,1,0,68.75,1,v Bangladesh,Dhaka,16/03/12
SR Tendulkar (INDIA),114,205,147,12,1,77.55,1,v Bangladesh,Dhaka,16/03/12
V Kohli (INDIA),66,126,82,5,0,80.48,1,v Bangladesh,Dhaka,16/03/12
SK Raina (INDIA),51,48,38,5,2,134.21,1,v Bangladesh,Dhaka,16/03/12
MS Dhoni (INDIA),21*,20,11,2,0,190.9,1,v Bangladesh,Dhaka,16/03/12
RG Sharma (INDIA),4,9,6,0,0,66.66,1,v Bangladesh,Dhaka,16/03/12
RA Jadeja (INDIA),4*,8,2,0,0,200,1,v Bangladesh,Dhaka,16/03/12
SR Watson (AUSTRALIA),21,35,23,4,0,91.3,1,v West Indies,Kingstown,16/03/12
DA Warner (AUSTRALIA),40,103,55,5,0,72.72,1,v West Indies,Kingstown,16/03/12
PJ Forrest (AUSTRALIA),26,64,64,3,0,40.62,1,v West Indies,Kingstown,16/03/12
MEK Hussey (AUSTRALIA),32,80,57,0,0,56.14,1,v West Indies,Kingstown,16/03/12
DJ Hussey (AUSTRALIA),0,11,7,0,0,0,1,v West Indies,Kingstown,16/03/12
GJ Bailey (AUSTRALIA),48,91,67,5,0,71.64,1,v West Indies,Kingstown,16/03/12
MS Wade (AUSTRALIA),0,1,1,0,0,0,1,v West Indies,Kingstown,16/03/12
G Gambhir (INDIA),0,1,2,0,0,0,2,v Pakistan,Dhaka,18/03/12
SR Tendulkar (INDIA),52,93,48,5,1,108.33,2,v Pakistan,Dhaka,18/03/12
V Kohli (INDIA),183,211,148,22,1,123.64,2,v Pakistan,Dhaka,18/03/12
RG Sharma (INDIA),68,109,83,5,1,81.92,2,v Pakistan,Dhaka,18/03/12
SK Raina (INDIA),12*,14,6,1,1,200,2,v Pakistan,Dhaka,18/03/12
MS Dhoni (INDIA),4*,4,1,1,0,400,2,v Pakistan,Dhaka,18/03/12
YK Pathan (INDIA),DNB,-0,-0,-0,-0,-0,2,v Pakistan,Dhaka,18/03/12
SR Watson (AUSTRALIA),25,59,41,1,1,60.97,1,v West Indies,Kingstown,18/03/12
DA Warner (AUSTRALIA),13,27,20,1,0,65,1,v West Indies,Kingstown,18/03/12
PJ Forrest (AUSTRALIA),0,4,4,0,0,0,1,v West Indies,Kingstown,18/03/12
MEK Hussey (AUSTRALIA),24,67,52,1,0,46.15,1,v West Indies,Kingstown,18/03/12
DJ Hussey (AUSTRALIA),37,100,62,4,0,59.67,1,v West Indies,Kingstown,18/03/12
GJ Bailey (AUSTRALIA),21,27,26,2,0,80.76,1,v West Indies,Kingstown,18/03/12
DT Christian (AUSTRALIA),6,15,11,0,0,54.54,1,v West Indies,Kingstown,18/03/12
SR Watson (AUSTRALIA),10,29,14,0,0,71.42,1,v West Indies,Kingstown,20/03/12
DA Warner (AUSTRALIA),37,59,51,6,0,72.54,1,v West Indies,Kingstown,20/03/12
MS Wade (AUSTRALIA),2,13,11,0,0,18.18,1,v West Indies,Kingstown,20/03/12
GJ Bailey (AUSTRALIA),59,122,87,1,1,67.81,1,v West Indies,Kingstown,20/03/12
MEK Hussey (AUSTRALIA),67,130,95,4,1,70.52,1,v West Indies,Kingstown,20/03/12
DJ Hussey (AUSTRALIA),15,26,18,2,0,83.33,1,v West Indies,Kingstown,20/03/12
DT Christian (AUSTRALIA),12,32,14,0,1,85.71,1,v West Indies,Kingstown,20/03/12
SR Watson (AUSTRALIA),28,40,24,2,2,116.66,2,v West Indies,Gros Islet,23/03/12
DA Warner (AUSTRALIA),1,6,4,0,0,25,2,v West Indies,Gros Islet,23/03/12
PJ Forrest (AUSTRALIA),24,44,28,4,0,85.71,2,v West Indies,Gros Islet,23/03/12
GJ Bailey (AUSTRALIA),25,52,36,1,1,69.44,2,v West Indies,Gros Islet,23/03/12
MEK Hussey (AUSTRALIA),26,45,30,3,0,86.66,2,v West Indies,Gros Islet,23/03/12
DJ Hussey (AUSTRALIA),57,82,54,7,0,105.55,2,v West Indies,Gros Islet,23/03/12
MS Wade (AUSTRALIA),15,56,36,2,0,41.66,2,v West Indies,Gros Islet,23/03/12
SR Watson (AUSTRALIA),66,126,89,4,1,74.15,1,v West Indies,Gros Islet,25/03/12
DA Warner (AUSTRALIA),69,83,61,10,1,113.11,1,v West Indies,Gros Islet,25/03/12
PJ Forrest (AUSTRALIA),53,104,68,5,0,77.94,1,v West Indies,Gros Islet,25/03/12
GJ Bailey (AUSTRALIA),19,28,22,2,0,86.36,1,v West Indies,Gros Islet,25/03/12
B Lee (AUSTRALIA),12,10,10,2,0,120,1,v West Indies,Gros Islet,25/03/12
MEK Hussey (AUSTRALIA),25,41,28,2,0,89.28,1,v West Indies,Gros Islet,25/03/12
DJ Hussey (AUSTRALIA),0,1,1,0,0,0,1,v West Indies,Gros Islet,25/03/12
MJ Clarke (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v Ireland,Belfast,23/06/12
XJ Doherty (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v Ireland,Belfast,23/06/12
SR Watson (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v Ireland,Belfast,23/06/12
DA Warner (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v Ireland,Belfast,23/06/12
